,RMSE,MAE,R2
Random Forest,2127.6824527355907,399.24162307981203,0.8943790589027062
XGBoost,1803.1832962846568,400.5790710449219,0.9241394400596619
LightGBM,2196.7784966942368,448.12158568881046,0.8874076337090696
CatBoost,2168.1226540063967,613.4268390331399,0.8903258938695225
