,RMSE,MAE,R2
Random Forest,1571.8807928190872,216.42119977980886,0.2788743028457841
XGBoost,1414.1399329627884,205.73330688476562,0.4163445830345154
LightGBM,1999.0121444606204,245.09208553174,-0.16627944763198643
CatBoost,1633.8305681601214,459.9130911511725,0.22091329754529965
