Feature,Importance
city_count,126.5741080777753
total_revenue_roll2,52.42497937349933
total_quantity_roll2,52.38110292464604
transaction_count_roll2,41.26647621061864
total_quantity_lag1,27.778609240291047
total_revenue_lag1,25.56680346725984
avg_age,21.519268601445674
transaction_count_lag1,20.76525608869395
total_quantity_lag2,18.007193803234806
total_revenue_lag2,16.321231128445323
avg_discount_roll2,15.11533551207701
production_cost,14.044379754018365
SeasonNum,13.841687786043757
avg_discount_lag1,12.764628716357503
avg_unit_price_lag1,11.562727664493828
avg_discount_lag2,10.118520804207966
transaction_count_lag2,9.857193744745803
avg_unit_price_lag2,8.889232763153762
avg_unit_price,8.59756088184113
avg_unit_price_roll2,8.15495407455516
Category_enc,7.495819582593581
Gender_enc,4.283729223644082
TimeStep,3.4442831995712284
ProductColor_enc,2.508628781014623
Season_enc,1.1288008446719215
AgeGroup_enc,0.05842946345757203
store_count,0.02905825225714913
